Original,Attack
"I'm feeling fatigued and have no energy. I can barely keep my eyes open during the day, and I've been feeling lethargic and unable to motivate myself.",I'm feeling fatigued and have no energy. Barely able to keep my eyes open during the day. I've been feeling lethargic and unable to motivate myself.
There are small red spots all over my body that I can't explain. The bumps are itchy and uncomfortable and seem to spread rapidly. It's worrying me.,"The bumps are uncomfortable and itchy, causing distress and worry as they spread rapidly across my body."
The itching is making it hard for me to sleep at night. I can't seem to get any rest because the rash is so itchy and uncomfortable. I'm feeling really tired and exhausted.,'Tiredness: I'm feeling really tired and exhausted. The itching is making it hard for me to sleep at night. I can't seem to get any rest because the rash is so itchy and uncomfortable.'
The high fever and swollen lymph nodes are causing me much discomfort. I have a headache and feel weak and fatigued. It's hard for me to concentrate because of the fever.,"The swollen lymph nodes are causing me significant discomfort. They are tender and enlarged, making it difficult for me to move my neck or jaw."
"The rash on my skin is causing a lot of discomforts. It's red and inflamed, spreading all over my body. The rash is accompanied by intense itching, especially on my arms and legs.","The intense itching on my arms and legs is causing a lot of discomfort. The rash on my skin is red and inflamed, spreading all over my body."
"There are red spots all over my body that I can't explain. The spots are itchy and starting to swell, and they are spreading rapidly.","The red spots on my body are starting to swell, and they are spreading rapidly."
I have small lymph nodes on my arms and face. The itching is making my day very uncomfortable.,The itching on my arms and face is causing significant discomfort throughout my day. I also have small lymph nodes in these areas.
"I have no energy and have lost my appetite. I'm feeling really sick and don't know what's wrong. Also, there are small red spots starting to show on my skin.","I have lost my appetite and have no energy. I'm feeling really sick and don't know what's wrong. Also, there are small red spots starting to show on my skin."
"I've had a mild fever for the past few days, and it's starting to worry me. The fever has been accompanied by a severe headache. I feel weak and lethargic.","I feel weak and lethargic. I've had a mild fever for the past few days, and it's starting to worry me. The fever has been accompanied by a severe headache."
"I have swollen lymph nodes and red spots all over my body, and they are causing discomfort. I also have a mild fever and feel tired most of the time.","I am experiencing significant discomfort due to swollen lymph nodes and red spots all over my body. This discomfort is causing a great deal of physical distress. In addition, I have a mild fever and feel tired most of the time."
"I've been suffering from severe itching all over my body, and it's driving me insane. I also have a red and irritating rash.",I have a red and irritating rash that is causing me significant discomfort and has been worsening over time.
"I have seen rashes on my skin, and it's difficult for me not to scratch. Also, I've had a high fever for several days. I'm not sure what's causing it.","I have a strong urge to scratch my skin due to rashes, making it difficult for me to resist."
"I have little red spots all over my body that I don't understand. It worries me. I have lost my appetite and every night, I am exhausted and have a severe headache.","I am exhausted every night, which is causing me great concern. I have little red spots all over my body that I don't understand. It worries me. I have lost my appetite and every night, I have a severe headache."
"I'm feeling really sick and lost my appetite. I've seen little red patches on my arms, neck and face that itch when I touch them.",I've seen little red patches on my arms that itch when I touch them.
I have red spots on my arms and legs and itching them makes it difficult for me to sleep at night. I also have severe headaches and a mild fever.,"I have red spots on my arms and legs, and severe itching makes it difficult for me to sleep at night."
Enlarged lymph nodes are giving me a great deal of pain. I have rashes all over my body and because of which I cannot sleep all night.,"The patient is presenting with rashes all over their body, which are causing them significant discomfort and preventing them from getting a good night's sleep."
"My skin rash is giving me a lot of pain and discomfort. It's red and swollen, and it's spreading throughout my body.",The discomfort from my skin rash is unbearable. It's causing me a lot of pain and is making it difficult for me to focus on anything else.
I have a high fever and a mild headache. I'm tired most of the time and completely lost my appetite.,I have a mild headache that is persistent throughout the day. It is manageable with over-the-counter pain medication but still affects my daily activities.
"My arms and face have small lymph nodes, which are starting to swell. My day has been made really miserable by the constant itching and pain.","Swelling: My arms and face have small lymph nodes, which are starting to swell. My day has been made really miserable by the constant itching and pain. Other symptoms include fatigue, loss of appetite, and mild fever."
"My arms and neck have large lymph nodes, which itch when I touch them. The itching has made my day extremely uncomfortable.","The itching when touched in my arms and neck, caused by large lymph nodes, has made my day extremely uncomfortable."
"My skin rash is causing me a great deal of pain. There are also small red spots developing near my neck. Since yesterday, I have had a severe fever, headache and fatigue.",The small red spots developing near my neck are concerning.
"I am starting to develop tiny red spots all over my face and neck area, and it itches when I touch them. The itching is making my day very uncomfortable.","I am experiencing intense itching all over my face and neck, especially when I touch the tiny red spots that have started to develop. This itching is making my day very uncomfortable."
"I have lost my appetite completely and can't seem to eat anything. I feel like vomiting and feel exhausted. I noticed rashes on my skin, which is really concerning me.",I have completely lost my appetite and can't seem to eat anything. I feel like vomiting and nauseous. This symptom is really concerning me. I also feel exhausted and have noticed rashes on my skin.
I have a high fever and a severe headache. I can't seem to eat anything and feel like vomiting. There are also some red spots developing on my arms. I am really worried.,Severe headache: The patient reports having a severe headache that is causing significant discomfort.
I'm worried about these red spots on my skin. It's spreading rapidly and causing a lot of problems. I also developed a mild fever and headache every night.,"I've been experiencing a mild fever every night, along with headaches."
I'm feeling really nauseous and uneasy. I'm not sure what it might be. I've seen rashes on my arms and legs. I have lost my appetite and feel exhausted every day.,I'm feeling really uneasy and nauseous. I'm not sure what it might be. I've seen rashes on my arms and legs. I have lost my appetite and feel exhausted every day.
I have swollen red lymph nodes on my arms and legs that itch when I touch them. I'm also suffering from a terrible headache and a mild fever. I don't feel like eating anything and have lost my appetite.,"I have lost my appetite and don't feel like eating anything. I also have swollen red lymph nodes on my arms and legs that itch when I touch them. Additionally, I'm suffering from a terrible headache and a mild fever."
I'm really exhausted and lacking in energy. I can hardly keep my eyes open during the day. I have a mild fever and don't feel like eating anything. I think I have lost my appetite.,"Clinical note: ""I have a mild fever. I'm really exhausted and lacking in energy. I can hardly keep my eyes open during the day. I don't feel like eating anything. I think I have lost my appetite."""
"I am exhausted and have lost my appetite. I feel vomiting and can't eat anything. In addition, little red spots are beginning to appear on my skin and near the neck. I am really worried about my health.","I am exhausted and have lost my appetite. I feel vomiting and can't eat anything. In addition, little red spots are beginning to appear on my skin and near the neck. I am really worried about my health."
There are small red spots all over my body. The spots are itchy and uncomfortable. I also have a mild fever and headache.,There are small red spots all over my body that are itchy and uncomfortable. The spots are causing me significant discomfort. I also have a mild fever and headache.
"I've been suffering from severe itching all over my body, along with a fever and headache. The red spots are starting to swell and it is getting really uncomfortable every day.","I've been suffering from a severe headache recently, which is becoming increasingly uncomfortable every day. Along with this, I also have severe itching all over my body, a fever, and red spots that are starting to swell."
I feel tired every day. There are red spots all over my arms and back and it itches if I touch them. I am really worried and not sure what to do.,"I am really worried and not sure what to do. There are red spots all over my arms and back, and it itches if I touch them. I feel tired every day."
"The high fever, swollen lymph nodes and headache are causing me a lot of trouble. I don't feel like eating anything and feel weak and fatigued. It's hard for me to concentrate on my daily life.","The weakness I am experiencing is causing me a lot of trouble. I don't feel like eating anything and feel fatigued. It's hard for me to concentrate on my daily life. The high fever, swollen lymph nodes, and headache are also troubling me."
"I have a high fever and red spots and rashes all over my body. I feel exhausted and have completely lost my appetite, which has made me weak and lethargic. I am really worried.","I have red spots and rashes covering my entire body, causing concern and discomfort."
I have seen rashes on my arms and neck and it itches if I scratch them. I've also had a high fever for a few days. I have no idea what is causing it. The itching is causing me a lot of discomforts.,"I have been experiencing intense itching on my arms and neck, which worsens when I scratch the rashes. This discomfort is causing me a lot of distress."
